id,keyword,normalized_keyword,variant_type,candidate_type,source_type,status,entity_name,entity_source_type,entity_review_status,score,confidence,trademark_risk,verification_status,ad_copy_allowed,landing_page_allowed,created_at
54,portfolio recovery associates alternative,portfolio recovery associates alternative,alternative,alternative,cfpb_complaint,approved_seed,"Portfolio Recovery Associates, LLC",cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
52,portfolio recovery associates bbb,portfolio recovery associates bbb,bbb,bbb,cfpb_complaint,approved_seed,"Portfolio Recovery Associates, LLC",cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
51,portfolio recovery associates complaints,portfolio recovery associates complaints,complaints,complaints,cfpb_complaint,approved_seed,"Portfolio Recovery Associates, LLC",cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
53,portfolio recovery associates phone number,portfolio recovery associates phone number,phone_number,phone_number,cfpb_complaint,approved_seed,"Portfolio Recovery Associates, LLC",cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
50,portfolio recovery associates reviews,portfolio recovery associates reviews,reviews,reviews,cfpb_complaint,approved_seed,"Portfolio Recovery Associates, LLC",cfpb_complaint,approved_seed,88.0,0.88,unknown,needs_review,0,1,2026-06-11T00:20:04Z
19,resurgent capital services l p,resurgent capital services l p,brand,brand,cfpb_complaint,approved_seed,Resurgent Capital Services L.P.,cfpb_complaint,approved_seed,87.0,0.87,unknown,needs_review,0,1,2026-06-11T00:20:04Z
24,resurgent capital services l p alternative,resurgent capital services l p alternative,alternative,alternative,cfpb_complaint,approved_seed,Resurgent Capital Services L.P.,cfpb_complaint,approved_seed,87.0,0.87,unknown,needs_review,0,1,2026-06-11T00:20:04Z
22,resurgent capital services l p bbb,resurgent capital services l p bbb,bbb,bbb,cfpb_complaint,approved_seed,Resurgent Capital Services L.P.,cfpb_complaint,approved_seed,87.0,0.87,unknown,needs_review,0,1,2026-06-11T00:20:04Z
21,resurgent capital services l p complaints,resurgent capital services l p complaints,complaints,complaints,cfpb_complaint,approved_seed,Resurgent Capital Services L.P.,cfpb_complaint,approved_seed,87.0,0.87,unknown,needs_review,0,1,2026-06-11T00:20:04Z
23,resurgent capital services l p phone number,resurgent capital services l p phone number,phone_number,phone_number,cfpb_complaint,approved_seed,Resurgent Capital Services L.P.,cfpb_complaint,approved_seed,87.0,0.87,unknown,needs_review,0,1,2026-06-11T00:20:04Z
20,resurgent capital services l p reviews,resurgent capital services l p reviews,reviews,reviews,cfpb_complaint,approved_seed,Resurgent Capital Services L.P.,cfpb_complaint,approved_seed,87.0,0.87,unknown,needs_review,0,1,2026-06-11T00:20:04Z
25,transworld systems,transworld systems,brand,brand,cfpb_complaint,approved_seed,TRANSWORLD SYSTEMS INC,cfpb_complaint,approved_seed,87.0,0.87,unknown,needs_review,0,1,2026-06-11T00:20:04Z
30,transworld systems alternative,transworld systems alternative,alternative,alternative,cfpb_complaint,approved_seed,TRANSWORLD SYSTEMS INC,cfpb_complaint,approved_seed,87.0,0.87,unknown,needs_review,0,1,2026-06-11T00:20:04Z
